mode,data_type,nll,brier,ece
sngp_ensemble,shift,1.8911 ± 0.1483,0.6539 ± 0.0241,0.2408 ± 0.0144
sngp,shift,1.6678,0.6177,0.2267
sngp,shift,1.9117,0.6565,0.2342
sngp,shift,1.8977,0.6541,0.2415
sngp,shift,2.0508,0.6807,0.2588
sngp,shift,1.6415,0.6121,0.2165
sngp,shift,2.0576,0.6652,0.2458
sngp,shift,2.0019,0.6737,0.2518
sngp,shift,1.9341,0.6552,0.2423
sngp,shift,1.7333,0.6359,0.2263
sngp,shift,2.0141,0.6881,0.2643
sngp_ensemble,shift,1.8911 ± 0.1483,0.6539 ± 0.0241,0.2408 ± 0.0144
sngp,shift,1.6678,0.6177,0.2268
sngp,shift,1.9117,0.6565,0.2342
sngp,shift,1.8977,0.6541,0.2415
sngp,shift,2.0508,0.6807,0.2588
sngp,shift,1.6415,0.6121,0.2166
sngp,shift,2.0576,0.6652,0.246
sngp,shift,2.0019,0.6737,0.2518
sngp,shift,1.9341,0.6552,0.2424
sngp,shift,1.7333,0.6359,0.2263
sngp,shift,2.0141,0.6881,0.2643
sngp_ensemble,shift,1.8911 ± 0.1483,0.6539 ± 0.0241,0.2409 ± 0.0143
sngp,shift,1.1216,0.4742,0.1574
sngp,shift,1.0418,0.4577,0.1372
sngp,shift,1.2215,0.5106,0.1563
sngp,shift,0.9882,0.4153,0.1114
sngp,shift,1.1645,0.4766,0.1526
sngp,shift,0.9567,0.4105,0.1104
sngp,shift,1.1541,0.4776,0.1487
sngp,shift,1.077,0.4568,0.138
sngp,shift,1.098,0.4846,0.1523
sngp,shift,1.2202,0.4919,0.1473
sngp_ensemble,shift,1.1044 ± 0.0857,0.4656 ± 0.0302,0.1411 ± 0.0164
sngp,shift,1.1216,0.4742,0.1572
sngp,shift,1.0418,0.4577,0.137
sngp,shift,1.2215,0.5106,0.1563
sngp,shift,0.9882,0.4153,0.1111
sngp,shift,1.1645,0.4766,0.1524
sngp,shift,0.9567,0.4105,0.1095
sngp,shift,1.1541,0.4776,0.1487
sngp,shift,1.077,0.4568,0.1374
sngp,shift,1.098,0.4846,0.1522
sngp,shift,1.2202,0.4919,0.1473
sngp_ensemble,shift,1.1044 ± 0.0857,0.4656 ± 0.0302,0.1409 ± 0.0166
sngp,shift,1.1216,0.4742,0.1572
sngp,shift,1.0418,0.4577,0.1371
sngp,shift,1.2215,0.5106,0.1563
sngp,shift,0.9882,0.4153,0.1111
sngp,shift,1.1645,0.4766,0.1524
sngp,shift,0.9567,0.4105,0.1095
sngp,shift,1.1541,0.4776,0.1487
sngp,shift,1.077,0.4568,0.1379
sngp,shift,1.098,0.4846,0.1522
sngp,shift,1.2202,0.4919,0.1473
sngp_ensemble,shift,1.1044 ± 0.0857,0.4656 ± 0.0302,0.1410 ± 0.0166
sngp,shift,1.1216,0.4742,0.1572
sngp,shift,1.0418,0.4577,0.137
sngp,shift,1.2215,0.5106,0.1563
sngp,shift,0.9882,0.4153,0.1111
sngp,shift,1.1645,0.4766,0.1524
sngp,shift,0.9567,0.4105,0.1095
sngp,shift,1.1541,0.4776,0.1487
sngp,shift,1.077,0.4568,0.1374
sngp,shift,1.098,0.4846,0.1521
sngp,shift,1.2202,0.4919,0.1473
sngp_ensemble,shift,1.1044 ± 0.0857,0.4656 ± 0.0302,0.1409 ± 0.0166
